created_at,data.adjectives_bikes.0,data.adjectives_bikes.1,data.adjectives_bikes.2,data.adjectives_motors.0,data.adjectives_motors.1,data.adjectives_motors.2,data.adjectives_pubs.0,data.adjectives_pubs.1,data.adjectives_pubs.2,data.constraints.0,data.constraints.1,data.constraints.2,data.constraints.3,data.employment_rate,data.equipments.0,data.equipments.1,data.equipments.2,data.equipments.3,data.equipments.4,data.equipments.5,data.equipments.6,data.freq_mod_bike,data.freq_mod_car,data.freq_mod_combined,data.freq_mod_moto,data.freq_mod_pro_inter_car,data.freq_mod_pro_inter_combined,data.freq_mod_pro_inter_plane,data.freq_mod_pro_inter_train,data.freq_mod_pro_local_bike,data.freq_mod_pro_local_car,data.freq_mod_pro_local_combined,data.freq_mod_pro_local_moto,data.freq_mod_pro_local_pub,data.freq_mod_pro_local_train,data.freq_mod_pro_local_walking,data.freq_mod_pro_region_car,data.freq_mod_pro_region_combined,data.freq_mod_pro_region_moto,data.freq_mod_pro_region_plane,data.freq_mod_pro_region_pub,data.freq_mod_pro_region_train,data.freq_mod_pub,data.freq_mod_train,data.freq_mod_walking,data.freq_trav_pro_inter,data.freq_trav_pro_local,data.freq_trav_pro_region,data.importance_comfort,data.importance_cost,data.importance_env,data.importance_flex,data.importance_most,data.importance_rel,data.importance_time,data.needs_bike,data.needs_car,data.needs_moto,data.needs_pub,data.needs_train,data.needs_walking,data.trav_pro.0,data.trav_pro.1,data.trav_pro.2,data.travel_time,typo.reco.reco_dt2.0,typo.reco.reco_dt2.1,updated_at
2025-03-13T21:15:52.246387,cheap,fast,practical,impractical,polluting,tiring,pleasant,reliable,practical,,,,,75,bike,upt_subs,train_subs,,,,,3,0,TRUE,0,0,FALSE,0,0,0,0,TRUE,0,1,1,1,0,TRUE,0,0,4,4,4,4,4,0,8,4,4,2,4,3,4,4,3,3,1,1,5,4,5,,,,90,tpu,inter,2025-03-13T21:23:17.774444
2025-03-14T07:16:14.651528,slow,cheap,ecological,fast,practical,polluting,fast,ecological,congested,,,,,40,train_subs,upt_subs,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,5,0,0,0,0,0,2,1,1,4,1,5,3,1,1,1,5,5,1,,,,90,tpu,inter,2025-03-14T07:24:43.468882
2025-03-14T07:49:45.142134,impractical,bad_weather,dangerous,fast,expensive,impractical,practical,reliable,safe,,,,,100,upt_subs,bike,,,,,,0,0,FALSE,0,0,TRUE,1,2,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,1,0,1,1,3,2,1,2,2,4,2,1,1,5,2,3,,,,25,tpu,vae,2025-03-14T07:58:24.140254
2025-03-14T08:01:49.736847,healthy,ecological,autonomous,congested,polluting,expensive,ecological,safe,relax,heavy,,,,90,bike,upt_subs,,,,,,5,0,TRUE,0,0,FALSE,0,0,10,0,FALSE,0,0,0,0,0,FALSE,0,0,0,3,1,1,0,0,10,3,2,1,5,5,5,3,2,5,1,1,2,1,1,,,,30,tpu,inter,2025-03-14T08:14:12.748425
2025-03-14T08:09:43.806868,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T08:09:45.138556
2025-03-14T08:10:19.682400,cheap,healthy,autonomous,expensive,polluting,autonomous,ecological,congested,,,,,,100,bike,upt_subs,car_driver,,,,,4,0,TRUE,0,0,TRUE,1,3,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,4,4,0,3,1,1,5,1,5,3,5,4,3,5,1,1,5,4,4,,,,45,train,tpu,2025-03-14T08:25:37.522491
2025-03-14T08:16:26.288406,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T08:16:27.329688
2025-03-14T08:31:28.960184,bad_weather,,,fast,reliable,practical,slow,unpleasant,congested,,,,,45,eab,,,,,,,0,5,FALSE,0,0,FALSE,1,0,8,0,FALSE,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,1,6,0,3,2,4,4,2,4,4,5,1,1,3,1,1,,,,30,vae,tpu,2025-03-14T08:52:24.269577
2025-03-14T08:50:56.119094,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T08:51:05.992897
2025-03-14T09:00:36.514209,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T09:00:36.514221
